time,seconds_elapsed,temperature
1752116673900000000,360.412,33
1752116674899000000,361.411,33
1752116675901000000,362.413,33
1752116676902000000,363.41400024414065,33
1752116677902000000,364.41400024414065,33
1752116678907000000,365.419,33
1752116679903000000,366.415,33
1752116680905000000,367.417,33
1752116681907000000,368.419,33
1752116682907000000,369.419,33
1752116683907000000,370.419,33
1752116684907000000,371.419,33
1752116685908000000,372.42,33
1752116686908000000,373.42,33
1752116687910000000,374.42200024414063,33
1752116688909000000,375.421,33
1752116689910000000,376.42200024414063,33
1752116690911000000,377.423,33
1752116691911000000,378.423,33
1752116692915000000,379.427,33
1752116693912000000,380.424,33
1752116694913000000,381.425,33
1752116695915000000,382.427,33
1752116696915000000,383.427,33
1752116697916000000,384.428,33
1752116698918000000,385.4300002441406,33
1752116699919000000,386.431,33
1752116700918000000,387.4300002441406,33
1752116701920000000,388.432,33
1752116702921000000,389.433,33
1752116703920000000,390.432,33
1752116704923000000,391.435,33
1752116705923000000,392.435,33
1752116706923000000,393.435,33
1752116707922000000,394.43399975585936,33
1752116708928000000,395.44,33
1752116709931000000,396.443,33
1752116710932000000,397.444,33
1752116711931000000,398.443,33
1752116712930000000,399.4419997558594,33
1752116713930000000,400.4419997558594,33
