AccX,AccY,AccZ,GyroX,GyroY,GyroZ
0.454356515794873,-0.22303014372727334,-0.965420240475527,-0.18527020048484888,5.301713553769245,0.2484741720233105
0.3799493962797213,-0.20325930589743643,-0.9816718113240119,-0.27835014851748324,4.8912436165594535,0.03325681945221448
0.29046815809557186,-0.17543353476456924,-1.0090553979417276,0.3127279845524485,4.391643979503508,0.013167494088577925
0.25891483198834564,-0.13324842489277425,-0.9748466867389305,0.676221996850818,4.708606914741271,0.28902649511888184
0.25803444610722676,-0.12498577287179519,-0.9448936482703989,0.8512962863030329,3.592305912918424,0.5137635900792554
0.2811196779836837,-0.09192605921678344,-0.9662397337738954,0.07361340944988393,3.7755120198135295,0.6372533319324026
0.32046615499766984,-0.09646513989510513,-0.9484641336690001,-2.055161124347325,4.967099058757589,0.47358493931235557
0.40610146685547893,-0.10694269936363664,-0.9306720298251774,-2.0037011335431294,5.644264132962719,0.7898361181328695
0.4496825602890455,-0.1668134926713291,-0.9698870465524501,-1.6583213221771607,6.169166711284399,0.25719318853846207
0.4524358291631714,-0.1571007932773897,-0.9667678512843848,-1.2445950989300734,7.275609886347339,0.08686987317482533
0.3934721691165512,-0.14404865988345025,-1.0034481305874152,-1.0023487954009354,7.562287585167853,0.06558835577855485
0.32639837376223857,-0.14662778649883487,-1.0225758940979048,-0.17838395614685332,7.616630189216804,0.2334205235920752
0.32721331408158594,-0.16663024499067644,-1.0271747295594433,0.7743376224662026,7.142635989988364,0.4776953328018661
0.3348448427435906,-0.15691583813752955,-0.994278914358977,0.6923610746620068,6.704300788365985,0.6065588356200485
0.33938847611421996,-0.16019608650349693,-0.964453352545457,0.45974127683450017,5.73579601066435,-0.12203064122843857
0.3878170982657353,-0.1445944193100237,-0.9634932936410281,-0.5022509296736611,5.98674353649885,-0.4344739232097914
0.43063503875990794,-0.14209553468531505,-0.94508884659907,-1.4710404104265775,5.425399028575772,-0.5222334919137543
0.4592490029324022,-0.14063581271328707,-0.9658106378578114,-0.3984056656247096,3.8502642396596833,-0.7019519921864821
0.425465403829838,-0.1388653664522148,-1.00263262131935,-0.3065712913449891,3.2911795582284467,-0.9228100145850842
0.3528731197505837,-0.11890502089277422,-1.0296753214498862,-0.24692610181352048,2.6088364560163235,-0.821882951669
0.24422769619114282,-0.08251213332400953,-1.0712401205501194,-0.3080837735920754,1.8909589136829879,-0.4283528176293719
0.19921988821445274,-0.09367829461072286,-1.085926118116553,0.4778020961724957,2.0786134982913804,0.35118062597902205
0.21236990563869518,-0.1153652665034968,-1.0839627495011683,-0.14080321719114242,2.4474100960699365,0.4845104004452228
0.22583861479254136,-0.11223355110489538,-1.0422460026247113,-1.0316909554615412,3.510720831335674,0.3857719887272738
0.2475989995664342,-0.11302743488345017,-0.9831053548741284,-0.5449563161328687,3.5879819925664433,-0.13110553587878837
0.3595747515804205,-0.16265854922377665,-0.9382170563310048,-0.3785298672867141,4.334863609743602,0.4329436464755255
0.42104469445454656,-0.1902760326759912,-0.977938565403266,-0.6633036178158522,4.067599067666677,0.6942650222074611
0.4536849870792553,-0.21952851842657406,-1.009545386277392,-1.268777024834502,3.6628765638205225,0.7147102259300718
0.43955897638461655,-0.224155239372961,-1.0333471054498862,-1.6222352714172539,3.321927436522153,0.9292869977738953
0.38241185909091013,-0.1936148975710961,-1.061028896233103,-1.6164522502913796,3.998469723801876,1.2744176942797238
0.32930586675524565,-0.16063997863170204,-1.0806506319463898,-1.728091247382289,3.976796740279731,1.4318404243007032
0.3106999609160847,-0.15581407533566474,-1.0390442891375318,-2.057278599386952,5.424883005195818,1.5594583534731978
0.2974173450512828,-0.12146252192773924,-1.0110739684755272,-2.4976067190279787,5.005124646207473,0.7588391252634055
0.31725704316550196,-0.08781379752913773,-1.0135239111095597,-1.5194754355710995,5.85693695647554,-0.1015676434335668
0.3586767237202807,-0.09530589860839186,-0.9891582215687673,-0.4427658855291383,4.911030445930083,-0.7670421180932424
0.4071508731631712,-0.1411411669370633,-0.980179651414921,-0.5591736507296048,5.284293315662018,-0.7160803573193494
0.4190733582610734,-0.1597755274452219,-1.0189945961934759,-1.1013897043869492,5.351429741734279,-0.8203882632214476
0.36600435692307787,-0.15742688314452255,-1.0330562994405623,-0.8769373120116573,4.808412962156191,-0.5121977260046635
0.3019006546340334,-0.1491204108997673,-1.0497375349114246,-1.3201480453613088,4.990426876902111,-0.1643267673146858
0.26131867794638763,-0.15597285208391648,-1.068365635172497,-1.1918183598694672,5.9617252984568925,0.13969999476923115
0.25787794547319415,-0.16978244749417293,-1.028435838396273,-1.1670314419766932,5.2228509409790345,0.23738856578321724
0.2933574399417257,-0.17098266325407974,-0.9706450776899793,-1.0193419811934759,5.220626702055958,1.0350362107902127
0.3467291983752923,-0.16025413398601443,-0.9579537488065293,-1.1414260040769264,4.998149432855491,1.0402854144102591
0.4029680442797214,-0.15189359808158548,-0.9877434577808883,-0.6138187513589758,6.0860691465384775,1.5208633606550155
0.4293101919160851,-0.149081143594406,-1.00588612236597,-1.6694958986247135,6.430007650491858,2.6337479314592147
0.40155897184382394,-0.14069727484382322,-1.0302557956899794,-2.3645972348391675,7.201409276734285,3.1851634369790296
0.31386582196270485,-0.10558882855944082,-1.063037223200469,-2.7676649050233175,7.321731702338015,3.333208775871804
